ENSG_ID	c_12h_rep2	c_12h_rep1	c_24h_rep2	c_24h_rep1	t_12h_rep1	t_12h_rep2	t_24h_rep1	t_24h_rep2
AFFX-BioB-3_at	8.244615012	7.454426725	8.235939664	8.289788747	7.833165379	7.960452273	8.379067066	8.352790809
AFFX-BioB-5_at	8.2684239	7.855371845	8.24381181	8.29160258	7.902274317	7.979848584	8.264924005	8.311172916
AFFX-BioB-M_at	8.37209907	7.630827716	8.331003848	8.4004524	7.975429466	8.133721635	8.547554713	8.330100384
AFFX-BioC-3_at	8.869811739	8.422341285	8.837411432	8.85467508	8.598968588	8.635391578	8.870099538	8.892412353
AFFX-BioC-5_at	9.053074017	8.465046433	9.058976226	9.097648148	8.741034813	8.872603271	9.124649914	9.023306487
AFFX-BioDn-3_at	11.84858872	11.45598994	11.84189164	11.88374694	11.57056333	11.64990466	11.9252896	11.8184762
AFFX-BioDn-5_at	9.742802223	9.093119963	9.661536029	9.725752474	9.363356395	9.561215912	9.853527839	9.637775469
AFFX-CreX-3_at	12.84864719	12.45710622	12.78989165	12.87846315	12.60443353	12.75845716	12.86614058	12.73458936
AFFX-CreX-5_at	12.62770312	12.06271612	12.49623617	12.5797256	12.3368577	12.4763716	12.51876052	12.28832642
AFFX-DapX-3_at	2.683571512	2.65240567	2.70173483	2.675137298	2.666691983	2.538220569	2.846370886	2.725525269
AFFX-DapX-5_at	2.604617834	2.471579238	2.500191584	2.562174039	2.569984985	2.589094318	2.512878251	2.641929551
AFFX-DapX-M_at	2.615082895	2.718972351	2.966593457	2.715276723	2.694753091	2.59490164	2.498313697	2.722564142
AFFX-HSAC07/X00351_3_at	13.13641015	13.08957768	13.03864808	13.01897856	13.10300389	13.08446762	12.9441275	12.92093269
AFFX-HSAC07/X00351_5_at	12.95012873	12.99711317	12.94466915	12.75458471	12.92501554	12.9151522	12.80963806	12.78876166
AFFX-HSAC07/X00351_M_at	13.05745281	13.09417279	13.0022693	12.90869634	13.0203789	13.02659597	12.89318478	12.93439859
